Player,Team,Position,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,
Brice Williams,UNL,SF,34,29.7,13.4,4.2,9.5,0.444,1.5,3.8,0.388,3.5,4.1,0.844,0.9,4.6,5.5,2.5,1.1,0.6,1.8,2.6,
Tyler McGhie,UCSD,SF,24,27.5,13.3,4.8,10.8,0.44,2.9,7,0.414,0.9,1.4,0.647,0.5,2.3,2.8,1.3,0.5,0.2,0.3,1.2,
Ian Martinez,USU,SF,34,30.8,13.3,4.2,8.9,0.474,1.6,4.1,0.381,3.3,3.9,0.856,0.4,3.3,3.6,1.8,0.9,0.8,1.8,2.6,
Toneari Lane,GAST,SF,31,31.2,13.3,4.6,12.5,0.366,2.8,8.2,0.337,1.3,1.6,0.82,0.5,2.1,2.5,0.8,0.3,0.3,0.4,0.8,
"Carlos Marshall, Jr.",SCU,SF,31,24.2,13.2,4.7,9.8,0.482,2,4.6,0.424,1.8,2.3,0.775,1.2,3.2,4.4,1.7,0.8,0,1.9,1.8,
DeShayne Montgomery,MSMU,SF,32,27.8,13.2,4.9,9.1,0.538,0.9,2.1,0.412,2.6,3.6,0.728,0.7,2.8,3.5,2,1.7,0.7,2.8,2.1,
Donovan Ivory,SOMIS,SF,24,31.7,13.1,4.1,9.9,0.414,1.9,4.6,0.409,3.1,3.5,0.892,1,3.4,4.4,1.8,1.4,0.4,1.5,1.7,
Donovan Gregory,APPST,SF,33,28.6,13.1,4.6,9.5,0.479,0.4,0.9,0.452,3.5,4.5,0.789,1,3.4,4.4,3.1,1.1,0.7,1.7,1.9,
Wooga Poplar,UMFL,SF,29,31.1,13.1,4.6,10.8,0.426,2.1,5.6,0.385,1.8,2,0.864,0.7,4.1,4.8,2.1,0.8,0.3,1.9,2.1,
"Terrence Hargrove, Jr.",STLOU,SF,33,30.2,13.1,4.4,8.4,0.518,1.4,3.5,0.409,2.9,3.7,0.793,1.1,4.4,5.5,0.7,0.6,0.6,1.4,1.6,
Jack Gohlke,OAKL,SF,36,31.5,13.1,3.9,10.3,0.379,3.8,10.1,0.376,1.4,1.8,0.785,0.3,3.8,4.1,1.1,0.7,0.1,0.6,1.2,
"Daniel Skillings, Jr.",CINCY,SF,36,28,12.9,4.8,11.4,0.421,1.1,3.9,0.284,2.2,3.3,0.669,2.4,4,6.4,1.6,0.9,0.7,1.7,1.9,
Lue Williams,TARST,SF,35,33.5,12.9,4.7,10.5,0.454,1.1,3.4,0.311,2.4,3.1,0.761,1,3.4,4.4,1.3,1.3,0.3,1.4,2.1,
Josh Banks,UNCA,SF,34,28.6,12.8,3.9,9.2,0.419,2,5.1,0.395,3.1,3.6,0.855,0.8,2.5,3.4,1.1,0.7,0.3,1.3,2,
Isaiah Adams,BUFF,SF,26,32.8,12.8,5,12.6,0.399,1.3,5.7,0.228,1.4,2,0.706,0.5,3.5,4,3.7,1,0.4,3.2,2.9,
Collin Holloway,TULAN,SF,30,29.1,12.8,4.2,8.4,0.504,0.7,2,0.339,3.6,4.8,0.752,1,3.3,4.3,1.4,0.6,0.9,1.4,2.9,
Matt Allocco,PRIN,SF,29,33.7,12.7,4.3,8.6,0.508,1.6,3.8,0.427,2.4,2.7,0.909,0.4,2.5,2.9,3.3,0.7,0.1,1.3,1.8,
Ryan Langborg,NWU,SF,32,33.4,12.7,4.5,10.2,0.44,2.3,5.3,0.421,1.5,1.9,0.774,0.6,2.4,3,2.5,1.3,0.2,0.9,2.4,
John Christofilis,SEA,SF,28,29.5,12.7,4.6,11.1,0.417,2.3,5.8,0.398,1.1,1.5,0.738,0.3,1.9,2.3,0.5,0.5,0,1.2,0.8,
Caleb Robinson,GWU,SF,32,24.3,12.7,4.5,10.5,0.433,0.4,1.5,0.25,3.2,5.5,0.582,2.1,4.5,6.6,1.3,0.9,0.6,1.6,3.1,
Eric Acker,LIU,SF,26,33.4,12.7,4.9,12.6,0.387,1.1,3.8,0.283,1.8,2.7,0.662,0.9,2.8,3.7,3.8,0.6,0.1,3.3,1,
Des Watson,L-IL,SF,33,31.4,12.6,4.3,10.6,0.407,1.8,4.6,0.386,2.2,3.3,0.645,1.1,3.6,4.6,2.5,1,0.2,1.8,1.9,
Emanuel Sharp,U of H,SF,37,28.3,12.6,3.6,9.8,0.373,2.2,6,0.368,3.1,3.6,0.851,0.9,2.6,3.5,0.9,1.5,0.1,1.1,2.6,
"Keith Higgins, Jr.",LEHI,SF,23,25.9,12.6,4.7,10.7,0.437,1.6,4.8,0.324,1.6,1.9,0.841,0.5,3.1,3.6,1.7,1.4,0.3,0.7,1.7,
Quincy Anderson,MRRY,SF,32,27,12.6,4.4,9.6,0.459,1.8,4.6,0.395,1.9,2.7,0.729,0.8,3.7,4.4,1.1,1,0.2,1.1,1.7,
Jaylen Wells,WSU,SF,34,29.2,12.6,4.1,9.4,0.436,2.1,4.9,0.417,2.3,2.9,0.814,1.2,3.4,4.6,1.2,0.5,0.2,0.7,1.9,
Isiah Gaiter,USA,SF,32,30.6,12.5,4.6,9.9,0.459,0.9,2.5,0.375,2.5,3.1,0.806,0.8,2.4,3.3,1.8,1,0.2,1.8,2.2,
Erik Pratt,UWM,SF,34,27.4,12.5,4.4,10.8,0.41,2.1,5.7,0.361,1.6,2.1,0.8,0.9,2.4,3.3,2.2,0.5,0.3,1.3,1.6,
Chris Manon,COR,SF,29,22.1,12.5,4.9,8.6,0.564,0.8,2.3,0.338,2,2.8,0.713,1.1,2.9,4,3,2.2,0.6,2.1,3.3,
Chase Lowe,W&M,SF,33,26.8,12.5,4.4,8.4,0.525,0,0,1,3.6,5.5,0.663,2.7,4.7,7.3,3.2,1,0.2,2,2.6,
Terrance Williams II,MICH,SF,31,33.2,12.4,4,9.3,0.433,1.7,4.2,0.397,2.7,3.5,0.761,1.5,2.9,4.5,1.5,0.6,0.4,1.1,1.8,
Kareem Thompson,ORU,SF,31,38.2,12.4,4.5,11.5,0.39,2.1,5.7,0.369,1.3,2.1,0.621,1,5.9,6.9,3.6,1.5,0.4,2.3,1.5,
E.J. Bellinger,TNST,SF,33,25.6,12.4,4.4,9.4,0.472,1.5,3.9,0.375,2.1,2.6,0.8,1.4,3.7,5,1.2,0.6,0.4,1.5,2.6,
Justice Williams,RMU,SF,31,30.2,12.3,4.4,12,0.368,1.6,5.1,0.314,1.9,2.3,0.829,0.7,2.3,3,2.5,0.8,0.3,2.4,1.5,
Tre White,LVILL,SF,29,31.3,12.3,4.4,9.8,0.456,0.8,2.7,0.299,2.6,3.5,0.752,1.4,4.5,5.9,1.3,0.8,0.4,1.8,2.3,
Keylan Boone,UNLV,SF,28,30.2,12.3,4.3,10.3,0.419,2,5.6,0.35,1.7,2.3,0.734,1.6,4.9,6.5,1.3,0.8,1,1.1,2.4,
Mackenzie Mgbako,IU,SF,33,27,12.2,4,10.1,0.395,1.5,4.6,0.327,2.8,3.4,0.821,1,3.1,4.1,1.3,0.4,0.4,1.2,2.4,
Jabri Abdur-Rahim,UGA,SF,29,25.9,12.2,3,8.3,0.361,2.1,6,0.356,4.1,4.6,0.887,0.8,2.7,3.5,0.3,0.8,0.3,1,2.4,
Jalen Bridges,BAYL,SF,35,31.8,12.2,4.1,8.8,0.466,2.1,5.1,0.412,1.9,2.3,0.823,1.9,3.7,5.7,1.4,1.1,0.6,1,1.5,
Nique Clifford,COLST,SF,36,30.3,12.2,4.6,8.9,0.522,1.1,3,0.376,1.8,2.3,0.759,1.1,6.6,7.6,3,1.4,0.9,1.8,2.8,
Max Mackinnon,ELON,SF,32,27.1,12.1,4.6,10.3,0.45,1.6,4.4,0.364,1.3,1.8,0.702,0.9,3.8,4.8,2.6,0.8,0.2,2.1,1.4,
Tyler Harris,UP,SF,22,33.7,12.1,4.1,9,0.46,0.9,2.4,0.358,3,4.4,0.677,1.6,5.7,7.3,1.1,1,0.9,2,1.7,
Aboubacar Traore,LBSU,SF,36,30.8,12,4.1,8,0.517,0.1,0.6,0.087,3.7,5.6,0.665,2.7,5.8,8.4,4.5,1.5,1.4,2.6,3,
T.J. Long,UVM,SF,35,28.5,12,4.1,9.6,0.426,2.2,6.1,0.363,1.6,2,0.812,0.3,3.7,4,1.4,1,0.4,1,1.3,
Tytan Anderson,UNI,SF,33,28.3,11.9,3.8,7.7,0.502,0.2,0.8,0.25,4,5.8,0.696,2.4,4.7,7.1,2,1.3,0.6,1.4,2.8,
Jordan Riley,TEM,SF,33,29,11.9,4.4,10.2,0.432,0.6,2.4,0.256,2.5,3.5,0.707,1.6,4.5,6,1.1,1.1,0.8,1.7,2.1,
Sean Moore,FDU,SF,32,30.1,11.9,4.3,10.8,0.403,1.5,4.8,0.318,1.7,2.3,0.733,2.7,4.9,7.6,1.6,1,0.5,1.6,2.1,
Elias Cato,UCA,SF,28,28.8,11.9,4.3,9.3,0.464,0.8,2,0.418,2.5,3.4,0.719,1.7,4.4,6.1,1,0.9,0.9,2,2.8,
Noah Freidel,JMU,SF,36,30.1,11.9,3.8,8.8,0.432,2.3,5.9,0.384,2.1,2.4,0.851,1.2,4.1,5.3,1.7,0.9,0.9,0.9,2.4,
Zee Hamoda,CSUS,SF,34,29.1,11.9,4,10.2,0.396,1.9,5.6,0.34,1.9,2.4,0.783,0.8,3.2,4,1.7,1.2,0.3,2.6,2.4,
Jan Zidek,CHATT,SF,33,21.5,11.9,3.9,8,0.483,1.4,4.1,0.346,2.7,3.3,0.824,0.9,2.5,3.4,1.2,0.3,0.1,1.1,1.2,
Darweshi Hunter,MIAMI,SF,32,30.1,11.9,3.9,9.9,0.399,2,5.6,0.356,2,2.4,0.831,0.7,3.7,4.3,1.6,0.8,0.1,1,2,
Caleb Stone-Carrawell,UVU,SF,32,27.7,11.7,4.3,10.8,0.397,1.3,3.9,0.339,1.8,2.6,0.702,0.6,2.8,3.4,1.6,0.3,0.2,1.6,0.7,
Spencer Jones,STAN,SF,25,29,11.7,4,9,0.438,2.2,5.3,0.409,1.6,2.5,0.645,1.2,2.9,4.1,2,1.4,0.8,1.3,2.4,
Brendan Wenzel,UWYOM,SF,31,35.5,11.6,3.6,9,0.405,2,5.4,0.377,2.3,2.9,0.809,0.8,4.3,5.1,1.5,0.8,0.2,1.2,2.3,
Juwan Gary,UNL,SF,28,27,11.6,4.4,8.8,0.498,0.9,3,0.306,2,2.9,0.679,2.2,3.9,6.1,1.3,1.1,0.8,0.7,2.2,
Rubin Jones,UNT,SF,24,28.3,11.6,4,10,0.396,1.5,3.7,0.416,2.1,2.8,0.773,0.8,2.7,3.4,3.5,1.5,0.4,2,2.3,
Matt Knowling,YALE,SF,28,28.2,11.6,5,8.8,0.567,0,0.3,0.143,1.6,2.6,0.608,1.1,3.8,4.9,2.6,0.5,0.3,0.9,1.5,
D.J. Campbell,WCU,SF,32,29.5,11.6,4.6,8.6,0.529,0.8,1.9,0.41,1.7,2.3,0.726,0.4,3.3,3.7,1.5,0.7,0.2,1.3,1.7,
Lazar Stefanovic,UCLA,SF,33,34.5,11.5,3.7,9.6,0.385,1.8,4.5,0.389,2.4,2.8,0.868,1.5,4.6,6.1,1.6,1.1,0.1,1.1,2.5,
Cormac Ryan,UNC,SF,36,30.3,11.5,3.6,9.3,0.382,2.1,5.9,0.354,2.3,2.6,0.874,0.6,2.3,2.8,1.2,0.7,0.4,1.2,2.4,
Braxton Bayless,NIAG,SF,29,25.6,11.5,4.3,8.4,0.506,0.3,0.8,0.455,2.6,3.2,0.815,0.4,1.7,2.1,2.5,1.1,0.1,2.2,1.9,
A.J. Staton-McCray,SAMF,SF,31,21.3,11.5,4,9,0.442,1.2,3,0.413,2.3,2.7,0.835,0.9,3.6,4.5,1.3,1.6,0.5,1.6,2.4,
Keonte Jones,CSUN,SF,34,29.4,11.4,4.1,7.7,0.536,0.4,1.2,0.333,2.7,4.2,0.646,1.3,5.5,6.9,2.2,1.6,1.5,1.9,3.2,
Zeb Jackson,VCU,SF,36,29.6,11.4,3.9,10.1,0.387,1.6,5.3,0.3,2.1,2.5,0.831,0.3,4.1,4.4,3.3,1.4,0.2,1.8,2,
Will Richard,FLA,SF,36,29.4,11.4,3.7,9.1,0.411,1.9,5.6,0.345,2,2.5,0.802,1.5,2.4,3.9,1.3,0.9,0.5,1.3,1.8,
Kylan Blackmon,CCU,SF,31,33.2,11.4,3.5,8.8,0.396,1.8,5.1,0.358,2.6,3.8,0.672,0.7,2.4,3.1,1.6,1.2,0.2,1.3,2.2,
Bryan Antoine,RADF,SF,32,29.4,11.4,3.6,9.1,0.397,1.7,4.3,0.399,2.5,2.8,0.888,0.3,3.3,3.6,1.7,1.4,0.7,1.2,1.8,
"D.J. Richards, Jr.",MCNST,SF,34,26.2,11.4,3.6,7.7,0.466,2.4,5.4,0.451,1.7,2.2,0.797,0.4,1.8,2.2,0.7,1,0.1,0.5,1.6,
Joe Charles,LA,SF,33,33.6,11.3,4.2,9.5,0.442,1.6,4.7,0.34,1.3,1.7,0.786,2.9,6.7,9.6,1.1,1.8,1.1,1.3,2.3,
Cameron Christie,MINN,SF,33,30.1,11.3,3.8,9.4,0.403,2.1,5.4,0.391,1.6,2,0.791,0.2,3.4,3.6,2.2,0.6,0.3,1.2,1.6,
Myles Rigsby,TROY,SF,31,25.9,11.3,3.2,7.2,0.441,0.7,1.8,0.411,4.2,5.1,0.824,0.9,3.3,4.3,1.5,1.6,0.4,1.5,2.3,
Kevin Overton,DRAKE,SF,35,30,11.3,3.9,8.8,0.44,1.8,5.1,0.346,1.8,2.2,0.795,0.8,2.5,3.3,1.1,0.6,0.2,0.5,2.2,
Armon Harried,BNGH,SF,30,31.8,11.2,3.9,9.3,0.421,0.5,1.5,0.333,2.9,4.3,0.667,1.5,4.2,5.7,2.7,0.7,0.5,2.1,2.4,
Donovan Atwell,UNCG,SF,32,29.2,11.2,3.7,8.7,0.419,2.8,6.6,0.42,1.1,1.2,0.947,1.1,1.7,2.8,0.6,0.8,0.1,0.7,2.3,
Butta Johnson,UAB,SF,34,30.9,11.2,3.8,8.9,0.429,1.6,4.6,0.359,1.9,2.3,0.821,0.6,1.7,2.3,1.7,0.4,0.2,1.3,1.6,
Jayden Taylor,NCST,SF,41,27.4,11.2,3.5,8.4,0.413,1.6,4.3,0.364,2.6,3.5,0.755,0.6,3,3.6,1.3,1.1,0.5,1.5,1.8,
Rylan Griffen,UA,SF,36,26.3,11.2,3.7,8.1,0.454,2.1,5.3,0.392,1.8,2.2,0.81,0.9,2.4,3.4,1.9,0.5,0.3,1.4,2.1,
Ahren Freeman,UTRGV,SF,20,24.7,11.1,4.3,7.6,0.563,0.1,0.5,0.111,2.6,3.8,0.68,2.1,3.7,5.7,1,0.7,0.6,2.6,3.1,
Casey Morsell,NCST,SF,41,32.2,11.1,3.9,9.6,0.406,0.9,3.3,0.27,2.4,3,0.806,1.1,1.7,2.8,1.6,1.1,0.5,0.9,2.1,
Koby Brea,DAY,SF,33,29,11.1,3.8,7.5,0.512,3,6.1,0.498,0.4,0.5,0.875,0.3,3.4,3.8,1.2,0.5,0.3,0.7,0.9,
Stephon Castle,UConn,SF,34,27,11.1,4,8.5,0.472,0.6,2.2,0.267,2.4,3.2,0.755,1.7,3,4.7,2.9,0.8,0.5,1.5,2.4,
Jamiya Neal,ASU,SF,32,32.8,11,4.2,10.2,0.415,1.2,4.4,0.275,1.4,2.1,0.667,0.7,4.8,5.4,1.8,1.1,0.4,1.1,1.8,
Langston Love,BAYL,SF,24,25,11,3.6,7.8,0.465,1.5,3.1,0.48,2.3,2.9,0.783,0.7,2.2,2.9,1.2,0.4,0.2,1,1.8,
Micah Peavy,TCU,SF,34,29.3,10.9,4.3,9.4,0.458,0.8,2.6,0.31,1.5,2.5,0.607,1.6,3.3,4.9,2.6,1.3,0.2,1.7,2.3,
Sam Brown,PENN,SF,25,29.8,10.9,3.5,8.1,0.433,2.4,5.6,0.433,1.4,1.7,0.837,0.4,2.6,2.9,1.9,0.5,0.2,1.2,1.6,
Kobe Johnson,USC,SF,31,30.9,10.9,4.1,10.1,0.404,1.3,4.1,0.313,1.5,2,0.726,0.5,4.1,4.6,3.3,2.2,0.8,2.1,2.2,
Trey Anderson,SJSU,SF,29,31.6,10.9,4.2,8.9,0.467,1.3,3.7,0.364,1.2,1.5,0.773,1.3,3.1,4.4,1.2,0.4,0.6,0.7,3,
Christian May,TOWS,SF,34,29.7,10.8,3.8,9.8,0.389,1.9,5.4,0.341,1.4,2.2,0.618,1.1,3,4.1,1,0.5,0.2,1.6,2.1,
Miles Brewster,BSTN,SF,33,26.9,10.8,3.6,8.4,0.432,1.5,3.7,0.407,2,2.8,0.713,0.4,3.5,3.8,3.3,1.5,0.2,1.4,2.4,
Chance McMillian,TXTCH,SF,33,27.9,10.8,3.8,8,0.475,2,5.1,0.387,1.2,1.3,0.909,1,3,4,1.2,0.7,0.2,0.7,1.5,
Braden Housley,SUU,SF,31,34.7,10.8,3.7,9.7,0.377,1.3,4.9,0.272,2.1,3.4,0.629,0.5,3,3.5,3.6,1.6,0.4,2.3,2.8,
Laurynas Vaistaras,CAM,SF,32,25.4,10.8,4.1,7.6,0.543,0.9,2.1,0.424,1.7,2.3,0.707,1.1,3.2,4.3,3.1,1.2,0.2,1.4,2.2,
Kyle Rose,FORD,SF,33,28.5,10.8,3.6,8.4,0.428,2.1,5.2,0.398,1.5,2.3,0.645,1.2,3.7,4.8,2.3,2.1,0.4,1.5,2.9,
"James Dent, Jr.",WIU,SF,33,26.4,10.7,3.1,9.7,0.319,1.5,5.1,0.299,3,4.2,0.725,0.6,3.3,3.9,1.7,0.8,0.2,1.7,1.4,
Sadaidriene Hall,SFA,SF,18,20,10.7,4.3,7.9,0.538,0.2,0.9,0.25,1.9,2.8,0.7,1.3,3.4,4.8,1.2,0.9,0.3,1.8,1.7,
Chance Moore,MZZST,SF,31,26.8,10.7,3.7,9,0.412,1.4,4.8,0.295,1.9,3,0.617,1,4.3,5.3,0.5,0.7,0.9,0.8,1.5,
Luis Rodriguez,UNLV,SF,31,32.1,10.7,3.7,9,0.411,1.3,4.1,0.31,2,2.6,0.775,2.3,4.4,6.6,1.5,1.6,0.4,1.1,2.8,
Josh Pascarelli,MRST,SF,31,27.1,10.7,4.1,9.3,0.438,2,5.3,0.378,0.5,0.8,0.654,0.2,2.8,3,1.4,0.2,0.1,1.3,1.1,
Alec Oglesby,STET,SF,34,33.8,10.7,3.5,8.3,0.42,2.2,5.5,0.403,1.5,1.7,0.847,0.8,3.6,4.4,1.2,0.6,0.3,1,2.1,
Otis Frazier III,UTEP,SF,34,27.6,10.6,3.6,7.5,0.488,0.7,2.4,0.288,2.7,4.1,0.655,1.7,3,4.7,1.8,2.2,0.3,1.2,1.7,
Kendall Blue,STTOM,SF,33,28.1,10.6,4.1,8.2,0.496,1.2,3.8,0.32,1.3,2,0.662,0.4,3.7,4.1,1.6,0.8,0.3,1,1.2,
Jake Kyman,EWASH,SF,32,27.3,10.6,3.6,8.4,0.428,2.1,5.2,0.406,1.3,1.6,0.827,0.3,2.3,2.6,2.1,0.5,0.2,1.1,1.3,
Daeshon Shepherd,LASAL,SF,33,32.5,10.6,3.9,9,0.439,1.1,3.5,0.307,1.6,2.4,0.675,1.3,4.3,5.6,0.7,0.8,0.7,0.8,1.7,
Peter Suder,BELL,SF,31,31.9,10.5,3.8,9.2,0.411,0.6,2.4,0.24,2.4,3.3,0.725,0.8,3.5,4.3,3.3,1.2,0.3,2.2,2.9,
P.J. Hayes IV,SAND,SF,32,25.7,10.5,3.3,7.7,0.425,2.3,5.8,0.397,1.7,2.1,0.791,0.5,2.6,3.1,1.1,0.7,0.2,0.8,1.7,
Dalton Knecht,TENN,PF,36,30.6,21.7,7.3,16,0.458,2.6,6.5,0.397,4.4,5.7,0.772,0.8,4.1,4.9,1.8,0.7,0.6,1.7,1.8,
Tucker DeVries,DRAKE,PF,34,35.4,21.6,7.2,16.2,0.444,2.6,7.1,0.363,4.6,5.7,0.813,0.6,6.1,6.7,3.7,1.6,0.3,2.5,1.7,
Vonterius Woolbright,WCU,PF,32,35.2,21.1,7.4,16,0.46,0.3,1.3,0.244,6,8.4,0.717,2.2,9.8,12,5.6,0.6,0,3.5,1.5,
Riley Minix,MRHD,PF,35,33.8,20.9,7.8,14.4,0.541,1.7,4.8,0.349,3.7,4.4,0.839,3,6.6,9.7,2.2,1.3,1,2.3,2.3,
Tristan Enaruna,CLEST,PF,35,33.2,19.6,7.2,14.5,0.498,0.8,2.5,0.322,4.4,6.1,0.721,2.4,4.1,6.5,2.7,1.2,0.9,1.9,1.9,
Kobe Sanders,POLY,PF,29,33.6,19.6,6.1,13.4,0.459,1.3,3.9,0.339,6,6.9,0.874,0.9,2.9,3.7,3.2,0.8,0.3,2.9,2.8,
Anthony Dell'Orso,CAM,PF,32,33.3,19.5,7,14.2,0.492,1.5,4,0.38,4,4.9,0.809,1,5.5,6.5,1.9,1.6,0.5,2.4,1.4,
Jacob Crews,UTM,PF,32,33.4,19.1,6.4,13.3,0.485,2.8,6.7,0.414,3.5,4.3,0.816,2,6.2,8.2,1.1,0.8,0.5,1.3,1.5,
Mikael Brown-Jones,UNCG,PF,28,28.4,18.9,6.2,11.5,0.54,0.9,2.1,0.431,5.5,7,0.787,2.1,5.4,7.5,1.1,0.6,0.9,1.7,2.6,
De'Sean Allen-Eikens,CSUN,PF,33,33.7,18.8,6.3,13.2,0.482,1.1,2.9,0.361,5.1,6.8,0.742,1.9,3.4,5.3,2.3,1,0.2,3.2,2.5,
Blake Hinson,PITT,PF,33,33.5,18.5,6.1,13.4,0.454,3.3,7.9,0.421,2.9,4.4,0.669,0.9,3.5,4.4,0.8,0.5,0.2,1.3,2.2,
Johnell Davis,FAU,PF,34,32.3,18.2,6.3,13,0.483,1.7,4.1,0.414,3.9,4.5,0.857,1.4,4.9,6.3,2.9,1.4,0.2,2.9,2.8,
Sy Chatman,BUFF,PF,31,32.6,18.2,6.6,14.5,0.454,1.2,4.6,0.257,3.8,5.5,0.694,1.3,5.1,6.4,1.3,1.1,1.6,2.7,2.5,
Keenon Cole,LIND,PF,30,34.5,18.1,5.7,14.3,0.402,1.1,4.2,0.262,5.6,6.8,0.815,1.4,4.8,6.2,0.7,0.6,0.5,2.3,2.4,
Kevin Cross,TULAN,PF,30,36,17.5,5.9,11.5,0.513,0.7,1.7,0.423,4.9,6,0.818,0.9,6.4,7.3,4.6,1.3,0.9,3,2.3,
Kobe Julien,LA,PF,33,31.5,17.3,5.9,13.2,0.446,1.6,4.9,0.325,4,4.8,0.824,1.2,3.6,4.8,1.2,1.1,0.7,2.2,2.8,
Trey Townsend,OAKL,PF,36,36.4,17.3,6.1,13.4,0.455,0.3,0.9,0.375,4.7,6,0.779,2.1,5.9,8.1,3.1,1.3,0.3,2.5,1.3,
Branden Carlson,U of U,PF,36,29.6,17,6.4,12.9,0.501,1.8,4.7,0.379,2.4,3.3,0.714,1.5,5.1,6.6,1.6,0.4,1.5,1.5,1.9,
Tyler Robertson,UP,PF,33,35.6,16.9,6.1,13.5,0.452,2,5.5,0.372,2.7,3.4,0.811,0.9,3.5,4.5,3.8,0.8,0.2,2.3,2,
B.J. Omot,UND,PF,32,35.2,16.7,6,14.4,0.416,1.7,5.9,0.282,3.1,4.4,0.7,1.3,2.9,4.2,1.4,0.8,0.9,1.3,1.6,
Tyson Degenhart,BOISE,PF,32,33,16.7,5.6,11.1,0.503,0.9,3,0.316,4.6,5.8,0.791,2.2,4,6.2,1.5,1.1,0.3,1,1.9,
Amar'e Marshall,ALBNY,PF,32,32.1,16.7,6,13.8,0.434,1.5,4,0.372,3.2,4.2,0.761,1.2,3.8,5,2.1,1.8,0.6,2.8,2.6,
Trenton McLaughlin,NAU,PF,33,34.9,16.6,5.6,14,0.398,2.2,6.8,0.329,3.2,4.2,0.77,0.4,2.8,3.2,1.9,1.5,0.2,2.1,1.9,
Chisom Okpara,HAR,PF,26,30.5,16.5,5.7,11.8,0.479,1,3.1,0.338,4.2,6.2,0.673,1.2,3.9,5,2,0.8,0.7,2.4,2.5,
Graham Ike,ZAGS,PF,35,24.2,16.5,6.6,10.9,0.609,0.2,0.5,0.368,3,3.8,0.784,2.3,5,7.4,0.9,0.6,0.7,1.6,2.8,
Cade Tyson,BLMNT,PF,31,31.6,16.2,5.7,11.5,0.493,2.6,5.5,0.465,2.3,2.7,0.855,1.1,4.8,5.9,1.6,0.9,0.6,1.4,2.5,
Jalen Leach,FAIR,PF,32,32.8,16.2,5.7,11.6,0.488,1.4,4.1,0.354,3.5,3.9,0.895,1.1,3,4.1,3,1.8,0.1,1.7,1.6,
Tristan Da Silva,COLO,PF,34,34,16,5.8,11.8,0.493,1.9,4.8,0.395,2.5,3,0.835,0.9,4.1,5.1,2.4,1.1,0.6,1.8,2,
Diante Smith,NICH,PF,31,33.8,16,5.5,12.9,0.421,2.5,6.4,0.394,2.6,3.3,0.784,1.1,5.1,6.2,3,1.9,0.4,2.4,2.5,
Dominique Ford,SUU,PF,31,32.8,15.9,5,11.4,0.435,1.9,5.4,0.349,4.1,5.3,0.785,0.8,3.2,4,2.1,1.4,0.2,2,2.2,
Corey Washington,STPC,PF,26,28.5,15.9,5.3,11.6,0.455,0.9,3,0.308,4.5,5.8,0.773,2,4.4,6.3,0.5,1.2,0.8,1.1,2.7,
Gibson Jimerson,STLOU,PF,33,35.8,15.8,4.9,12.2,0.399,2.4,6.7,0.359,3.7,4.2,0.864,0.9,2,2.9,2.1,0.7,0.2,1.8,1,
Emanuel Miller,TCU,PF,34,32.6,15.8,5.6,11.4,0.486,0.9,2.4,0.383,3.8,4.6,0.815,2.2,3.9,6.1,2.6,1.1,0.4,1.5,1.6,
Jakorie Smith,TARST,PF,35,30.1,15.7,5.5,13.7,0.404,1.9,5.8,0.324,2.7,3.2,0.841,1,3.6,4.6,2,1.7,0.4,1.4,1.9,
Rytis Petraitis,AF,PF,24,32.9,15.7,5.3,10.9,0.485,0.9,2.6,0.349,4.2,6.3,0.658,1.9,4.5,6.3,3.7,1.6,0.9,2.5,2.8,
Isaiah Cozart,EKU,PF,30,31.5,15.6,6.3,9.7,0.652,0,0,0,3,5.4,0.546,4.1,5.9,10,0.6,0.6,3.9,1.5,2.2,
Jalyn McCreary,MER,PF,30,22.9,15.6,6.3,12.1,0.519,0,0.2,0.143,2.9,4.3,0.677,1.7,2.9,4.6,1.1,1,1,1.3,2.5,
Dyson Disu,TEXAS,PF,25,25.6,15.5,5.6,12,0.465,1.6,3.6,0.451,2.8,3.4,0.812,1,4,5,1.5,1.3,1.1,1.6,3.4,
Ali Ali,AKR,PF,27,33.1,15.5,5.1,10.6,0.484,1.1,3.9,0.292,4.1,5.3,0.764,1,3,4,2.8,0.4,0.2,2.1,2.1,
Ra'Heim Moss,U of T,PF,32,31.9,15.5,5.3,11.5,0.462,0.9,2.8,0.308,4,5.3,0.753,0.9,4.6,5.4,3,1.7,0.3,2.5,2.1,
Jakobi Heady,BTHCK,PF,34,32.9,15.4,5.8,12.1,0.479,1.2,3.6,0.323,2.6,3.5,0.756,1.4,3,4.4,1.3,1.4,0.3,1.7,1.3,
Malik Reneau,IU,PF,33,28.7,15.4,6,10.8,0.558,0.5,1.4,0.333,2.9,4.3,0.683,1.8,4.2,6,2.7,0.5,0.6,2.8,3.1,
Nick Caldwell,SELU,PF,32,29.5,15.4,5.5,10.4,0.529,1.3,3,0.423,3.1,3.8,0.811,1.6,3.9,5.5,1.2,0.9,0.9,1.9,2,
Greg Gordon,IONA,PF,25,24.4,15.4,6.4,11.8,0.548,0.6,1.7,0.326,1.9,3.7,0.516,3.4,3.6,7,1.2,1.4,0.4,1.4,2.1,
