Player,Team,Position,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,
Tyrece Radford,TAMU,SG,31,32.8,16.5,6,14.7,0.411,1.1,4,0.28,3.3,4.7,0.692,2.6,3.9,6.5,2.6,0.5,0.1,1.4,1.6,
Sean Pedulla,VT,SG,32,32.1,16.4,5.4,12.7,0.424,1.7,5.1,0.325,4,5,0.801,0.6,3.7,4.3,4.6,1.2,0.1,3.3,2.2,
Isaiah Collier,USC,SG,27,29.9,16.3,5.7,11.6,0.49,1,3,0.338,3.9,5.8,0.673,0.6,2.3,2.9,4.3,1.5,0.2,3.3,2.4,
Matthew Murrell,MISS,SG,32,32.9,16.2,5.6,12,0.464,2.4,6.1,0.398,2.7,3.6,0.739,0.6,3.1,3.6,2.4,1.6,0.3,1.7,2,
Dae Dae Grant,DUQ,SG,35,31.9,16,4.7,12.2,0.386,2.4,7.1,0.335,4.2,4.4,0.942,0.8,2.5,3.3,2.4,0.9,0.1,1.2,1.9,
Austin Crowley,SOMIS,SG,31,34.3,16,5.2,13.5,0.383,1.8,5.4,0.335,3.8,5,0.755,0.9,3.5,4.4,3.3,1.2,0.5,2.4,2.3,
Martaz Robinson,DESU,SG,34,34.6,15.9,5.3,12.7,0.418,0.9,2.8,0.319,4.4,5.2,0.847,1.4,5.1,6.5,2.2,2,0.1,2.6,2.8,
Jaylin Sellers,UCF,SG,33,32,15.9,5.2,12.5,0.419,1.6,5.3,0.297,3.8,4.6,0.829,1.4,2.2,3.6,1.1,1.1,0.1,1.3,1.8,
Pop Isaacs Jr.,TXTCH,SG,34,32.8,15.8,4.9,14.1,0.349,2.1,7.3,0.293,3.7,4.5,0.836,0.3,3,3.2,3.5,1,0.1,2.5,1.7,
"M.J. Amey, Jr.",SJSU,SG,32,32.8,15.7,5.6,13.1,0.425,2.2,6.1,0.362,2.4,3,0.792,0.5,4.6,5.1,3.1,1.6,0.3,1.9,1.6,
Jacob Meyer,CCU,SG,31,34.1,15.7,5.8,13,0.449,1.5,3.8,0.402,2.5,3.7,0.67,1,4.1,5.1,2.6,1,0.1,2.6,2,
"Dante Maddox, Jr.",U of T,SG,32,33,15.6,5,11.5,0.438,2.3,5.6,0.402,3.3,3.8,0.862,0.5,3.8,4.3,2.8,1.4,0.1,1.6,1.8,
Kaleb Stewart,SODAK,SG,28,29.1,15.6,5.5,12.1,0.454,2.4,5.5,0.426,2.3,2.7,0.829,0,1.8,1.8,1.6,0.2,0,1.6,2,
Simeon Cottle,KENN,SG,31,29.6,15.6,5.4,12.8,0.42,2.5,7.2,0.341,2.4,3.2,0.737,0.4,2.7,3.2,2.5,1.4,0.1,1.8,2.4,
